,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,y
324,"-12,28","-1,13","2,52","-0,54","-4,72","2,88","9,27","-10,47","5,05","-21,44","10,8","-8,26","-1,76","-3,09","17,89","6,32","-1,67","-5,06","10,66","32,76","7,06","29,74","8,37","1,1","8,48","-6,17","7,98","-9,57","-0,31","-27,84","-17,39","11,58","12,73","13,17","-2,54","14,5","2,64","1,8","13,46","-0,71","-10,84","30,87","3,63","3,51","-17,42",-26,"-21,09","5,55","-1,05","26,38","-1,8","-33,44","42,62","-9,51","-26,43","0,67","-29,95","-40,26","17,92","9,37","-40,85","48,16","8,59","-24,71","-3,4","20,39","13,71","-22,14","0,07","27,81","35,23","-19,01","-30,84","17,02","11,18","3,92","-47,97","25,21","24,39","39,67","-4,06","-14,84","-15,2","-9,42","40,98","-32,31","-16,87","-9,82","-67,35","-43,24","2,8","30,12","-12,99","17,28","-19,25","23,1","-18,98","-72,16","29,76","-48,29","32,91","-22,55","-102,68","-45,03","3,43","25,35",-24,"-28,4","0,36","-15,06","-52,28","35,71","-123,81","24,97","55,88","46,7","-28,1","-60,82","-14,32","4,09","-12,08","4,03","-36,52","49,04","0,08","16,87","-11,39","-30,47","56,33","-49,43","-80,46","18,88","38,14","-146,84","124,25","-9,97","37,37","5,6","95,84","-71,24","-117,95","-8,65","11,31","-24,39","110,49","41,37","-153,21","61,11","21,75","7,54","-35,56","-26,12","100,67","62,13","-71,47","53,77","20,32","81,21","-29,14","-4,13","29,81","132,4","-42,7","-89,07","4,99","-111,07","-27,35","0,14","58,23","-70,58","28,69","-103,52","45,7","-266,91","-92,7","96,43","-68,55","125,69","-32,94","-2,97","224,16","42,48","-7,55","158,77","125,1","-60,73","-152,91",86,"255,55","-96,63","-30,74","133,66","-24,41","-14,06","-45,26","84,41","-3,53",-169,"-27,35","-112,02","-23,12"
325,"5,05","2,59","10,41","0,65","5,36","-1,52","-2,03","-6,92","-4,55","-5,96","15,89","17,88","-14,58","13,35","10,14","1,82","28,18","-13,16","17,23","35,57","-0,92","-8,82","23,99","3,39","-2,27","-12,21","9,43","-14,5","11,11","-24,45","-27,11","-7,74","16,63","21,98","9,83","-38,28","-0,18","-3,84","13,77","3,17","-9,29","31,38","-1,22","-4,36","-22,46","1,23","-7,15","-2,12","-19,78","25,29","14,94","-4,25","-12,89","-8,43","5,31","19,31","19,6","-7,62","15,2","-11,95","43,2","8,07","-21,57","51,37","-20,61","-0,05","-6,2","12,27","10,74","40,82","32,31","29,64","24,49","-10,76","-7,82","2,64","2,9","44,51","1,98","17,76","-15,47","-4,19","-27,56","-63,49","35,86","-8,35","-77,14","34,36","-43,92","-70,77","7,7","-16,01","17,98","44,24","-51,27","-90,86","-55,27","43,83","-2,03","-19,43","119,21","-72,17","-159,07","-16,73","46,49","24,75","89,75","-15,16","-30,75","-77,84","52,68","64,71","-141,88","78,8","14,09","3,03","-42,15","-25,13","-27,73","12,5","61,01","-106,91","-8,61","-44,88","12,96","35,44","-38,33","-39,5","-80,13","62,9","71,78","124,63","-88,53","-130,56","112,05","10,39","-50,57","-144,58","98,52","47,26","-95,62","130,54","21,52","99,1","-105,19","-30,62","394,24","13,51","-250,88","72,89","-61,47","3,51","-198,64","322,24","-34,03","-60,7","111,04","67,1","145,3","140,98","81,62","249,05","45,64","-78,86","0,52","-51,71","149,65","-116,2","-78,75","128,29","-258,78","-82,78","37,95","-140,14","-9,64","59,45","-198,78","26,41","-40,29","29,48","261,04","4,22","-25,11","-287,02","219,93","111,99","-211,01","161,88","246,38","-13,71","246,82","209,34","-90,09","14,62","-79,59","171,68","-186,72","-222,31","-370,85","-172,44","15,34"
326,"-3,51","3,74","-4,48","9,82","2,44","-4,84","-5,43","-13,93","-1,1","-21,44","7,27","18,91","-0,1","15,71","24,8","18,05","0,96","1,63","-6,72","16,11","1,98","22,27","6,64","-27,09","-4,05","-7,57","1,83","-2,04","-1,18","7,85","-19,92","13,37","6,44","9,09","4,25","11,47","-3,21","-8,59","4,58","5,42","27,7","-2,69","20,11","-1,4","27,26",-23,"-12,4","18,87","18,03","13,83","6,51","-17,05","24,98","1,87","-14,68","17,79","33,27","9,05","38,52","10,12","-24,37","44,76","-8,45","-35,81","-15,58","-22,63",48,"8,49","-6,83","4,99","28,52","7,96","-2,83","3,23","12,35","-3,53","27,27","24,08","39,02","1,18","24,98","4,91","-8,72","-38,58","2,68","53,36","-13,89","3,29","-2,8","-32,41","7,15","-15,89","-0,45","4,74","23,84","32,11","-25,91","-101,64","-27,35","-8,91","47,58","-45,44","-74,07","-42,26","52,75","47,46","-45,27","-27,5","-9,5","-56,07","-44,45","30,56","-31,1","38,89","0,63","1,21","-17,48","-1,75","-52,7","18,62","-32,2","25,98","-16,3","84,06","-37,83","34,41","22,9","-24,33","27,05","-9,18","-34,4","-7,89","19,61","-41,44","120,96","39,63","56,1","87,67","23,07","78,28","-61,31","24,25","-1,17","9,5","-63,77","4,29","-26,66","47,42","76,58","36,43","-55,38","-47,74","-13,17","-26,82","-76,46","38,53",49,"20,04","42,27","-6,54","-12,71","48,22","-27,38","-13,67","18,89","57,79","-30,9","-73,14","52,74","-47,74","104,77","-24,84","0,21","89,61","-21,07","-63,35","16,43","110,66","-9,77","80,76","142,71","64,68","-57,05","53,78","26,34","-90,99","-142,4","28,3","277,51","-75,62","-35,03","203,61","24,38","37,58","-94,65","82,13","6,48","-225,58","64,25","-23,94","66,05"
327,"-0,06","10,27","5,62","2,84","-0,11","-2,55","-12,3","-13,59","16,48","-2,67","25,17","12,71","-3,98","7,35","13,75","17,17","4,81","8,1","-0,8","17,15","14,84","27,05","8,14","-9,85","-9,93","-0,32","14,04","-4,22","-12,46","-12,36","-12,43","30,27","2,02","22,26","-4,69","-6,65","7,3","7,33","3,05","11,51","0,79","0,61","3,64","15,92","14,04","11,55","-7,54","19,5","10,69","24,03","38,29","-45,68","-9,38","-9,05","-25,76","-18,97","2,53","-12,57","11,16","18,57","2,62","-8,69","7,88","1,35","-10,11","-31,91","4,13","7,77","33,38","13,22","51,14","26,71",5,"14,64","-0,05","-16,73","-72,2","20,04","-8,58","-18,74","9,85","10,33","-3,55","-35,53","14,91","-67,6","-32,23","-3,01","-42,54","-68,07","-36,68","-17,95","5,54","-23,73","-96,04","-105,21","18,42","26,6","-6,76","-41,74","122,59","-17,41","-45,85","5,02","2,26","-21,87","117,81","25,08","-38,99","-50,93","28,46","6,64","-52,2","0,67","73,16","28,6","55,04","-36,52","-0,65","36,94","100,71","-30,06","-42,85","-35,98","91,73","67,11","-73,06","-112,03","7,19","12,18","61,22","139,14","63,12","-119,72","167,93","-16,08","12,18","13,31","95,58","-104,86","-99,58","-14,07","-4,08","34,6","-12,52","1,66","215,77","-21,52","-302,46","-10,75","-75,47","-9,61","-38,89","401,02","-135,91","-26,31","40,96","-73,45","60,62","103,34","112,19","84,16","40,42","-115,05","62,48","-117,25","164,5","-119,49","-70,49","115,74","-28,19","-27,02","54,85","-270,75","-51,47","45,27",-36,"-75,19","51,31","91,8","295,41","-25,75","-92,71","-165,29","38,04","77,4","-137,11","-64,71","418,98","81,64","231,7","162,89","6,02","-129,5","-123,6","100,12","-205,06","-245,18","-9,51","-208,96","15,8"
328,"-3,83","-6,16","10,01","-2,19","4,75","-1,52","-1,51","-13,37","16,08","3,9","18,46","18,14","0,9","11,54","8,33","12,22","21,36","-5,67","1,85","19,61","9,16","10,57","1,2","7,43","3,87","1,43","19,4","6,35","-4,85","-14,49","-15,89","23,96","8,25","22,1","0,24","-20,61","2,84","-2,8","19,27","3,07","3,1","12,77","-3,49","3,66","-11,37","-8,79","-4,9","2,36","-4,31","22,28","17,8","-29,94","7,03","-0,62","-27,69","-45,72","-32,91","-8,32","14,16","32,54","10,42","4,11","8,43","11,22","-5,45","-28,73","9,34","11,27","-5,52","25,98","53,14","37,9","17,49","5,98","-11,71","11,42","-91,89","30,27","8,48","-19,54","-5,1","9,18","0,05","-25,44","17,05","-82,83","-28,03","0,98","-44,5","-66,61","-16,48","-18,03","4,07","-7,37","-62,4","-28,73","-31,69","9,88","-12,56","-35,36","110,35","-31,73","-83,68","-20,31","17,13","-2,11","63,9","25,28","-25,21","-6,75","-58,55","38,92","-85,29","26,4","42,06","22,09","-9,53","-33,75","-22,86","22,71","58,19","-43,53","-37,05",-12,"72,59","34,29","-109,74","-87,57","49,19","46,21","27,21","61,92","47,72","-132,39","145,27","2,61","8,39","-43,4","80,94","-163,45","-95,33","12,07","14,36","11,7","66,95","-22,38","-58,45","5,31","-160,83","34,63","-76,58","4,56","98,78","257,33","-113,04","-63,6","81,26","-0,05","-12,81","20,05","79,36","102,99","32,5","-78,03","31,44","-69,99","84,44","-79,66","-8,87","11,52","-94,04","-16,99","47,92","-295,87","-87,33","77,88","-66,86","-4,65","-30,88","45,75","264,58","-38,22","-57,71","66,34","100,18","99,04","-147,39","33,42","325,78","-0,78","64,13","181,7","-30,56","-165,31","-109,2","92,87","-55,13","-216,24","-156,46","-157,15","-28,48"
329,"2,58","-1,38","13,26","3,15","7,84","-6,59","-2,16","4,33","-1,36","-12,44","22,66","12,76","1,41","14,22","11,27","12,18","22,26","-10,53","7,44","26,4","9,57","1,57","25,12","7,64","3,35","-9,68","-0,95","-8,09","22,44","-11,96","-15,69","-10,68","14,17","13,1","-17,33","-15,35","-4,04","-5,58","33,28","13,74","-12,75","12,03","-1,54","-1,44","-34,18","-6,02","5,76","-8,11","-6,4","18,92","18,92","-9,68","-3,94","-8,77","-19,84","-16,7","-16,98","28,01","10,45","2,17","45,38","-19,99","-8,44","26,93","-12,39","-11,35","5,59","29,94","1,72","27,03","49,68","24,06","7,19","-9,38","-9,55","7,75","-63,22","34,09","-13,94","33,01","-20,55","17,13","-20,4","-75,52","10,82","-54,47","-25,11","13,84","-1,01","-45,82","8,16","-6,87","-12,58","38,42","-37,11","-8,5","-28,66","30,53","-51,56","24,52","98,34","-63,48","-117,39","-18,97","87,93","-8,67","56,94","-3,89","-15,06","-18,32","-27,38","49,8","-75,51","42,63","-2,7","-24,09","-28,59","0,74","-56,7","-0,99","61,81","-68,33","-8,32","-4,92","39,76","-7,45","-51,3","-44,28","16,22","16,99","42,3","8,42","-112,02","-46,38","115,21","1,67","-53,98","-141,21","34,45","-90,76","-52,14","83,29","35,71","80,73","22,97","-17,8","11,26","-43,59","-192,76","39,91","-69,95","1,74","29,52","175,6","-57,54","-62,24","97,79","5,09","63,37","16,35","49,04","159,91","49,31","-0,96","7,24","92,18","88,77","-132,19","-104,71","92,5","-197,06","-60,25","-6,95","-224,03","-58,64","-79,8","-60,85","-22,33","-49,5","19,8","172,94","-38,54","-72,4","-19,11","103,58","55,03","-160,86","73,89","293,39","17,59","65,36","244,95","-91,32","-87,66","-106,04","153,88","-93,3","-248,45","-393,55","-95,2","-59,99"
330,"5,64","15,09","-6,63","-5,96","-8,52","-3,07","-5,82","-6,41","2,82","-9,07","14,29","4,77","0,31","16,57","17,4","10,97","-3,39","2,87","-23,7","25,6","3,4","18,1","23,65","-9,1","1,32","3,93","4,93","-3,35","-9,04","-10,79","-8,24","-2,79","4,62","31,54","7,62","13,03","11,98","-2,06","14,32","-6,98","27,16","12,85","17,19","5,5","44,17","-30,04","14,66","25,35","35,01",16,"23,17","-36,67","34,52","12,49","-23,58","-4,51","-18,95","1,19","33,74","11,49","-73,27","53,94","-1,58","-50,14","-9,92","-20,44","48,67","46,33","7,32","19,21","47,11","25,62","-26,74","14,37","5,52","-17,76","-64,74","41,32","60,04","-48,77","33,97","17,54","-17,82","-64,29","14,82","-63,09","-23,33","-0,56","-16,1","-60,43","-18,66","-7,68","43,61","15,61","-45,33","-30,28","-9,21","-117,71","-29,92","1,8","74,21","30,52","-73,28",-31,"48,9","60,93","9,88","13,18","-33,07","-5,32","-34,1","29,55","-55,89","0,52","27,91","-11,33","9,28","-10,26","-33,43","69,31","34,17","104,43","-16,54","102,76","43,43","22,58","-59,71","-55,48","53,43","14,21","-95,16","54,32","-69,63","-60,46","128,85","-3,29","114,56","212,04","60,88","-79,81","-45,03","91,45","-31,55","-136,32","101,75","-14,95","-35,2","87,35","-123,97","-0,77","-90,12","-46,04","24,16","173,99","-82,79","7,47","-74,99","50,08","5,58","34,8","63,47","153,67","-30,95","-51,8","18,69","-9,86","52,99","-166,84","132,28","-189,6","277,31","-59,46","28,59","-282,97","-88,42","-57,44","-79,18","34,34","7,57","157,82","236,63","-26,74","-101,15","40,25","150,27","-2,54","-196,46","72,7","389,98","35,2","53,35","238,54","175,05","-20,41","-131,82","126,09","-51,01","-277,69","419,97","-141,67","93,05"
331,"8,36","5,85","2,57","12,34","8,02","-8,03","10,96","-5,94","4,57","1,69","16,46","-0,53","-7,32","-5,38","-1,68","26,13","6,74","-9,79","7,21","31,84","-1,64","-8,72","16,02","-5,02","2,2","-13,82","7,43","-16,32","-0,03","-7,77","-19,1","4,41","12,67","38,44","-5,83","8,61","-6,94","3,41","10,87","-11,2","12,82","6,24","19,29","-0,75","-25,77","-25,97","-0,13","2,19","-14,81","19,54","12,91","0,33","45,78","-1,96","23,56","40,71","48,95","11,02","30,13","-5,24","-18,98","40,21","-18,26","-33,01","15,27",-33,"30,02","31,95","13,57","23,28","8,51",-19,"-20,1","-20,02","-16,57","38,21","64,75","26,8","26,99","66,2","-2,59","31,1","-10,41","-66,4","10,83","48,1","-84,37","62,19","-32,61","-85,24","-0,69","13,83","-71,25","-2,79","-4,14","-87,51","-17,63","-99,59","-38,01","-28,33","132,9","-82,65","-142,9","-84,18","74,03","-11,13","90,59","-60,04","-28,67","-70,43","64,77","49,22","-83,84","51,91","30,34","22,97","-58,09","-30,56","-62,65","-6,98","41,41","-59,03","-46,77","64,55","-13,35","52,82","-9,5","-96,86","-118,23","-55,39","-60,97","141,92","-41,92","-76,6","241,03","5,94","-0,58","-61,16","88,97","164,68","-96,32","93,22","41,96","66,36","-244,1","25,45","518,67","27,35","-211,31","59,53","-140,52","-60,39","-310,18","229,51","-118,82","63,64","147,46","-39,35","241,52","128,64","68,98","179,06","-54,55","-83,28","63,31","1,75","150,43","-209,22","-66,8","54,97","-59,16","-31,04","45,33","222,47","70,89","-85,32","-2,24","23,52","12,75","65,59","341,61","65,27","-149,92","-376,83","128,04","-140,39","-278,63","56,08","600,49","-133,93","256,27","277,3","-140,82","104,68","-134,73","172,21","-196,25","-460,9","-373,03","-88,48","21,91"
332,"-8,23","-6,24","3,98",3,"-4,51","-0,28","-8,04","-5,88","4,04","-13,45","9,48","11,93",-4,"18,48","6,08","7,51","8,22","1,64","13,97","21,94","4,59","0,26","17,56","2,99","-15,74","16,38","-6,69","-7,88","-3,58","-13,21","-12,6","-3,14","5,54","13,96","8,78","-29,07","5,05","-9,16","30,43","6,29","-0,44","10,74","-9,68","-2,37","4,08","10,15","-4,24","11,78","-8,95","23,85","8,95","-7,25","-24,29","-1,67","-31,58","-25,26","-31,34","1,6","8,51","9,26","16,16","-6,05","0,08","29,16","-17,49","-11,77","15,21","19,58","-6,59","23,35","49,46","54,27","23,01","-2,26","-18,85","-12,45","-82,23","38,82","0,6","-39,74","19,82","5,69","-8,65","-62,71","40,58","-94,61","-26,62","4,18","-14,92","-54,93","-11,39","-27,05","21,35","15,15","-58,96","-22,53",-45,"41,74","-6,07","-11,23","99,75","-0,79","-94,86","2,52","57,74","33,04","43,52","22,9","-38,96","-16,01","-22,29","46,06","-88,02","-21,87","28,68","12,31","32,1","-13,26","-9,26","60,24","60,7","-44,3","-18,24","-59,2","55,2","13,4","-96,37","-81,47","40,78","118,1","36,92","6,14","-56,66","-126,76","146,31","11,23","9,71","-16,48","71,1","-135,05","-75,13","36,43","-10,45","-4,69","97,42","-68,57","-53,94","5,93","-189,68","21,07","-37,81","56,45","55,65","256,71","-110,16","-39,04","57,97","-32,36","14,84","22,59","63,05","165,96","32,34","-69,45","31,99","-22,72","100,57","-146,88","8,29","34,79","-130,46","-58,89","21,81","-357,4","-79,18","-4,4","-79,85","-21,07","-27,87","-99,55","264,9","-91,14","-93,02","28,21","138,55","195,24","-171,15","12,29","388,97","-13,95","56,18","230,54","-25,08","-130,49","-133,68","140,64","-86,64","-261,06","70,45","-123,49","-25,81"
333,"0,43","3,36","-8,08","2,69","-4,6","-1,23","-0,22","2,22","-0,04","-12,54","13,3","9,4","-14,26","2,3","13,39","6,56","2,68","6,08","3,73","22,35","-0,04","1,4","19,73","8,56","1,49","5,34","6,58","-13,62","-4,68","-16,66","-10,31","6,51","25,89","6,96","9,34","-18,95","-3,46","-1,84","19,19","-2,52","5,19","36,61","9,19","-8,48","-1,99","-1,99","-13,11","10,29","-3,98","20,22","6,49","-8,14","10,81","-6,91","-0,76","19,88","0,27","-11,14","14,33","-7,69","-2,16","13,38","-12,84","-17,91","-4,2","10,66","11,98","-20,05","-5,68","36,96","26,23","9,94","-4,34","-4,17","2,05","-6,24","7,66","46,14","-0,92","-22,28","6,17",-11,"-13,72","-15,38","16,9","5,94","-52,23","28,97","-49,23",-32,"27,43","-16,3","-12,97","45,3","-7,62","-20,75","9,26","-23,84","16,28","-19,41","76,25","-26,1","-129,84","-13,9","18,45","0,18","16,91","-9,97","-12,99","-47,53","-11,26","63,48","-109,47","28,44","-13,58","1,58",1,"-10,68","-20,8","19,21","-1,41","-30,9","-10,9","-18,14","-16,2","33,28","-21,47","15,47","-26,97","-5,53","10,14","87,26","-20,12","-75,42","74,69","16,67","9,73","-19,58","52,22","32,04","-82,35","95,09","4,06","35,12","-40,68","-21,03","145,93","33,99","-46,6","10,48","-45,91","-12,32","-86,2","136,39","6,39","15,11","15,38","-27,55","61,69","61,7","44,79","130,19","4,1","-44,88",-27,"-3,98","38,64","-14,51","17,24","61,43","16,25","-80,73","29,56","-110,62","-37,84",58,"-159,6","133,5","49,41","59,81","136,21","13,36","0,92","-61,32","146,82","30,42","-148,67","179,97","70,56","-7,6","96,14","145,26","-40,2","53,64","-24,74","109,7","-44,3","-121,31","-11,29","-118,06","55,62"
334,"-6,09","-0,81","10,46","7,59","-1,38","-4,52","-6,67","2,53","8,44","-10,68","17,08","15,95","5,8","16,05","18,31","10,86","26,08","6,24","14,74","16,52","16,14","20,41","17,23","-0,3","-8,61","5,98","6,41","-4,97","1,5","-15,35","-31,31","9,12","19,92","7,68","-14,62","-18,42","0,19","13,14","30,56","29,18","-20,11","19,44","7,34","5,56","-31,49","0,17","-4,07","11,75","-10,66","15,32","8,2","-14,47","-26,11","-27,1","-13,06","-16,35","-22,67","12,43","15,42","13,98",18,"-20,34","-2,65","42,22","-21,44","-10,56","-7,77","2,2","0,84","32,23","35,99","23,06","19,29","14,76","4,8","-4,6","-57,19","20,49","-29,56","-6,27","-10,45","0,97",-8,"-33,72","11,43","-30,75","-4,75","-2,91","-28,39","-37,02","13,69","-16,03","-5,83","21,53","-28,34","11,57","-24,54","78,79","-20,67","-23,94","31,28","-38,13","-123,73","2,7","42,98","17,02","8,76","36,98","-11,65","31,41","-31,25","52,9","-88,65","-9,26","11,11","1,65","-20,55","-18,41","-45,17","2,84","30,33","-36,24","-20,08","-59,55","13,88","-34,95","-12,21","-31,51","26,28","56,9","46,27","-9,76","-25,89","-69,23","113,26","-26,24","-25,85","-151,99","58,83","-84,48","-77,97","66,37","32,64","49,88","49,64","-39,12","-81,82","-35,32","-70,22","8,29","-63,33","49,77","68,9","49,85","-39,14","-108,14","94,04","17,76","16,33","-3,51","4,39","124,43","40,69","-29,05","8,47","12,34","23,6","-69,3","-0,77","21,67","-271,69","-90,13","18,48","-166,72","-33,59","8,52","-71,66","14,69","-125,33","-140,78","183,96","-64,06","-32,66","59,45","78,32","201,63","-136,98","76,67","187,65","-21,79","-19,34","155,54","-103,84","-61,63","-53,77","115,33","-57,99","-180,48","-235,39","-67,3","-69,03"
335,"-3,06","-1,19","-1,57","7,91","-3,81","-2,12","-3,09","-10,19","6,08","-10,99","19,39","0,65","3,52","11,33","21,72","16,81","-0,53","9,6","-8,51","23,87","18,78","39,72","2,14","-21,34","0,51","-4,51","8,69","6,62","-2,02","-13,44","-13,39","17,04","1,62","20,04","-0,51","-4,62","7,92","10,09","7,36","9,44","-12,89","9,24","6,61","6,38","4,79","-5,03","-8,15","15,3","3,74","26,08","11,44","-22,97","15,35","-17,51","-21,25","-6,4","-6,33","-11,38","15,41","18,31","-15,81","3,02","6,74","-5,78","-0,64","-18,69","31,48","19,26","-9,05","19,72","23,5","-7,59","-11,09","6,18","14,24","-7,97","6,08","23,61","4,26","27,71","2,86","6,22","-6,45","-37,88","25,22","42,48","-0,1","-5,95","-29,15","-62,34","-15,77","-10,51","-19,4","-4,96",12,"23,5","15,18","-39,57","-3,58","-38,47","15,61","-45,51","-59,79","-14,32","29,68","-3,74","-13,65","6,17","-20,69","-13,16","-64,06","30,28","-63,51","-3,51","43,84","16,15","-2,7","-19,54","-21,74","27,81","-57,23","6,69","-33,1","24,37","-26,66","19,48","7,74","-72,22","34,73","-42,57","-21,45","33,32","38,61","-119,83","138,08","4,31","5,57","-32,8","77,17","-11,31","-85,39","2,19","7,22","23,12","-24,04","3,82","-100,3","25,85","141,8","-3,34","-64,65","-11,43","80,64",-42,"-118,75","63,62","-3,45","-18,09","-56,34","-18,07","-12,52","80,64","-13,58","-72,62","38,25","-33,78","-63,29","-81,64","5,9","25,36","2,53","-9,55","30,39","23,86","-18,3","34,99","-74,21","187,09","3,46","-95,05","231,2","-6,04","-89,86","119,66","89,04","-49,27","-137,16","23,28","371,49","-43,78","-76,07","201,12","-61,53","-30,42","-127,19","96,71","61,56","-231,17","97,28","-63,56","5,52"
336,"-1,34","9,13","8,72","16,51","-12,81","-9,96","-2,34","0,73","-3,87","-0,75","8,85","14,46","-2,17","3,08","9,23","3,01","18,74","4,19","21,78","17,96","1,01","14,56","20,78","-22,71","-2,82","11,47","11,4","-7,25","-21,08","-9,56","-39,69","2,56","3,01","28,07","-0,95","-19,32","1,74","11,27","-13,45","13,7","-3,22","24,91","15,2","8,96","-15,69","-11,68","6,33","9,34","-20,58","11,34","4,64","-18,75","-4,48","-12,9","9,71","27,31","36,42","3,59","22,65","8,42","-14,47","13,43","6,21","27,81","-17,67","-7,77","-11,49","24,01","13,74",39,"-11,52","12,99","14,29","-11,44","-10,04","-12,96","44,18","27,84","8,17","-16,43","-4,53","5,9","-12,49","-49,78","19,98","40,1","-27,94","19,47","-11,28","-58,03","14,63","-17,16","-12,12","25,9","11,61","-59,1","-16,47","38,25","-38,59","-1,17","51,93","-44,47","-120,55","-34,04","66,79","10,27","30,21","36,5","-19,71","-18,41","51,79","60,41","-86,99","-5,49","5,42","-4,18","-2,43","-20,37","-38,93","34,93","15,8","-56,07","-13,59","-66,98","4,42","37,22","18,29","-57,61","-34,75","67,46","23,75","70,26","-116,3","-56,96","82,26","-4,36","3,4","-109,97","56,34","103,34","-37,6","103,49","31,69","32,53","-119,92","-53,29","232,93","16,39","-80,72","43,84","-75,4","32,21","-135,49","98,42","-20,63","-51,27","74,97","-64,28","117,07","64,25","27,2","217,79","27,49","-25,05","2,66","52,32","61,2","-124,49","-31,8","72,07","-196,01","22,37","13,73","190,44","56,08","-40,44","-71,82","-1,65","-28,01","-47,78","183,02","-46,17","-39,01","-183,37","130,03","228,98","-160,46","110,29","279,21","-28,67","126,42","215,67","-97,23","70,59","-82,81","147,02","-103,44","-244,57","-183,99","-33,12","50,97"
337,"-6,66","1,87","1,79","0,85","4,87","-7,16","-0,03","-0,32","8,49","-18,02","9,27","14,46","-10,04","19,39","18,6","6,74","13,83","5,56","16,63","11,09","13,89","19,1","11,08","5,9","1,8","3,86","-6,36","-2,73","3,37","-17,47","-10,47","-3,19","13,31","7,92","5,51","-32,2","0,99","-2,4","21,61","-7,14","5,92","10,48","2,34","-2,78","-17,73","-3,32","-4,92","1,07","-8,29","29,94","17,63","-24,39","-18,4","2,57","-30,59","-16,4","-13,14","7,6","5,24","9,34","28,01","-9,14","-14,52","20,02","-14,15","-5,42","30,11","14,27","6,27","23,88","69,68","62,32","16,94","6,84","-0,86","-0,67","-55,12","18,19","5,47","-28,5","4,99","-0,3","7,46","-40,26","13,95","-40,94","-39,71","12,27","-9,15","-32,88","8,83","-16,19","21,1","7,12","-50,41","-21,95","-59,83","-5,95","-24,88","-23,66","82,87","-6,98","-86,31","-29,99","58,15","34,81","59,24","2,55","-12,1","-16,06","-12,91","34,82","-67,26","20,5","17,22","4,45","-8,31","-10,13","-37,79","46,39","39,3","-36,45","-23,07","-2,26","20,71","-1,28","-28,22","-53,53","1,51","85,64","18,39","32,7","-38,88","-74,9","113,64","0,07","-5,67","-13,39","49,11","-93,08","-47,06","17,45","-0,37","-0,67","19,14","-53,26","28,89","25,89","-153,61","24,6","-39,83","34,29","43,1","219,53","-64,97","-53,55","47,46","45,04","49,93","37,53","39,07","105,71","17,06","-19,57",23,"28,95","70,34","-69,1","28,81","-4,89","-103,27","-111,09","-0,2","-304,15","-82,43","-34,07","-6,82","74,24","-73,3","-7,47","178,25","-69,35","-69,45","-8,7","47,1","162,47","-119,4","9,21","276,14","6,91","78,44","172,29","-29,77","-86,09","-81,93","101,34","-91,07","-199,05","-36,17","-159,38","-10,54"
