"","GeoName","2024"
"143","Virginia",8811195
"144","Virginia",77351
"145","Washington",677934.6
"146","Washington",7958180
"147","Washington",85187
"148","West Virginia",97970.7
"149","West Virginia",1769979
"150","West Virginia",55351
"151","Wisconsin",403888.3
"152","Wisconsin",5960975
"153","Wisconsin",67755
"154","Wyoming",50815.4
"155","Wyoming",587618
"156","Wyoming",86477
"157","New England",1356223.6
"158","New England",15386085
"159","New England",88146
"160","Mideast",4076706
"161","Mideast",50464237
"162","Mideast",80784
"163","Great Lakes",3206652.4
"164","Great Lakes",47619171
"165","Great Lakes",67340
"166","Plains",1523445.6
"167","Plains",21977413
"168","Plains",69319
"169","Southeast",5912874.8
"170","Southeast",89262082
"171","Southeast",66242
"172","Southwest",3068733.3
"173","Southwest",45098864
"174","Southwest",68045
"175","Rocky Mountain",985009.6
"176","Rocky Mountain",13187576
"177","Rocky Mountain",74692
"178","Far West *",4767967.7
"179","Far West *",57115560
"180","Far West *",83479
"181",NA,NA
"182","United States",3.8
"183","United States",3.14
"184","United States",-0.04
"185","United States",0.01
"186","United States",0.02
"187","United States",0.03
"188","United States",0.29
"189","United States",0.21
"190","United States",0.14
"191","United States",0.07
"192","United States",0.12
"193","United States",0.11
"194","United States",0.16
"195","United States",0.25
"196","United States",0.27
"197","United States",0.09
"198","United States",0.47
"199","United States",0.04
"200","United States",0.06
"201","United States",0.56
"202","United States",0.68
"203","United States",0.05
"204","United States",0.51
"205","Alabama",3.5
"206","Alabama",2.59
"207","Alabama",0.2
"208","Alabama",0
"209","Alabama",0.02
"210","Alabama",0.01
"211","Alabama",0.41
"212","Alabama",0.51
"213","Alabama",0.1
"214","Alabama",0.13
"215","Alabama",0.03
"216","Alabama",0.14
"217","Alabama",0.35
"218","Alabama",0.06
"219","Alabama",-0.01
"220","Alabama",0.33
"221","Alabama",0.11
"222","Alabama",0.87
"223","Alabama",0.18
"224","Alabama",0.07
"225","Alabama",0.62
"226","Alaska",3.9
"227","Alaska",2.8
"228","Alaska",0.01
"229","Alaska",-0.02
"230","Alaska",0.36
"231","Alaska",0.03
"232","Alaska",0.68
"233","Alaska",-0.21
"234","Alaska",-0.25
"235","Alaska",0.07
"236","Alaska",0.32
"237","Alaska",0.06
"238","Alaska",0.12
"239","Alaska",0.24
"240","Alaska",0.08
"241","Alaska",0.1
"242","Alaska",0
"243","Alaska",0.54
"244","Alaska",0.05
"245","Alaska",0.11
"246","Alaska",0.16
"247","Alaska",1.1
"248","Alaska",0.29
"249","Alaska",0.27
"250","Alaska",0.55
"251","Arizona",4.3
"252","Arizona",3.84
"253","Arizona",0
"254","Arizona",0.01
"255","Arizona",0.05
"256","Arizona",0.04
"257","Arizona",0.57
"258","Arizona",0.34
"259","Arizona",0.28
"260","Arizona",0.07
"261","Arizona",0.21
"262","Arizona",0.18
"263","Arizona",0.23
"264","Arizona",0.14
"265","Arizona",0.24
"266","Arizona",0.16
"267","Arizona",0.35
"268","Arizona",0.03
"269","Arizona",0.13
"270","Arizona",0.66
"271","Arizona",0.51
"272","Arizona",0.02
"273","Arizona",0.33
"274","Arkansas",4.1
"275","Arkansas",3.64
"276","Arkansas",0.44
"277","Arkansas",0.01
"278","Arkansas",0.06
"279","Arkansas",0.38
"280","Arkansas",0.31
"281","Arkansas",0.12
"282","Arkansas",0.19
"283","Arkansas",0.17
"284","Arkansas",0.1
"285","Arkansas",0.03
"286","Arkansas",0.26
"287","Arkansas",0.72
"288","Arkansas",0.02
"289","Arkansas",0.42
"290","Arkansas",0.09
"291","Arkansas",0.14
"292","Arkansas",0.47
"293","Arkansas",0.11
"294","Arkansas",0.04
"295","Arkansas",0.32
"296","California",4.5
"297","California",3.68
"298","California",0.12
"299","California",0.01
"300","California",0
"301","California",0.03
"302","California",0.18
"303","California",0.07
"304","California",0.04
"305","California",0.08
"306","California",0.09
"307","California",0.69
"308","California",0.72
"309","California",0.43
"310","California",-0.04
"311","California",0.05
"312","California",0.61
"313","California",0.13
"314","California",0.82
"315","California",0.71
"316","Colorado",3
"317","Colorado",2.2
"318","Colorado",-0.07
"319","Colorado",0
"320","Colorado",-0.09
"321","Colorado",0.01
"322","Colorado",0.25
"323","Colorado",0.11
"324","Colorado",0.08
"325","Colorado",0.04
"326","Colorado",0.1
"327","Colorado",0.16
"328","Colorado",0.19
"329","Colorado",0.58
"330","Colorado",0.37
"331","Colorado",0.05
"332","Colorado",0.78
"333","Colorado",0.13
"334","Colorado",0.07
"335","Connecticut",3.2
"336","Connecticut",2.9
"337","Connecticut",0
"338","Connecticut",NA
"339","Connecticut",0.02
"340","Connecticut",0.21
"341","Connecticut",0.26
"342","Connecticut",0.04
"343","Connecticut",0.11
"344","Connecticut",0.07
"345","Connecticut",-0.16
"346","Connecticut",0.74
"347","Connecticut",0.38
"348","Connecticut",0.25
"349","Connecticut",0.42
"350","Connecticut",0.06
"351","Connecticut",0.08
"352","Connecticut",0.14
"353","Connecticut",0.34
"354","Connecticut",0.03
"355","Connecticut",0.28
"356","Delaware",5.7
"357","Delaware",4.56
"358","Delaware",0.3
"359","Delaware",NA
"360","Delaware",0.03
"361","Delaware",0.2
"362","Delaware",0.02
"363","Delaware",0.18
"364","Delaware",0.11
"365","Delaware",0.14
"366","Delaware",0.13
"367","Delaware",0.06
"368","Delaware",0.56
"369","Delaware",0.54
"370","Delaware",0.57
"371","Delaware",0.23
"372","Delaware",0.04
"373","Delaware",0.94
"374","Delaware",0.05
"375","Delaware",0.15
"376","Delaware",1.12
"377","Delaware",0.07
"378","Delaware",0.9
"379","District of Columbia",8.5
"380","District of Columbia",5.78
"381","District of Columbia",0
"382","District of Columbia",0.03
"383","District of Columbia",0.01
"384","District of Columbia",0.17
"385","District of Columbia",0.11
"386","District of Columbia",0.73
"387","District of Columbia",0.41
"388","District of Columbia",0.27
"389","District of Columbia",1.69
"390","District of Columbia",0.12
"391","District of Columbia",0.09
"392","District of Columbia",0.35
"393","District of Columbia",0.64
"394","District of Columbia",0.1
"395","District of Columbia",0.39
"396","District of Columbia",0.67
"397","District of Columbia",2.74
"398","District of Columbia",2.57
"399","District of Columbia",0.05
"400","Florida",3.6
"401","Florida",3.07
"402","Florida",0
"403","Florida",0.01
"404","Florida",0.31
"405","Florida",0.19
"406","Florida",0.13
"407","Florida",0.06
"408","Florida",0.15
"409","Florida",0.12
"410","Florida",0.17
"411","Florida",0.1
"412","Florida",0.37
"413","Florida",0.09
"414","Florida",0.45
"415","Florida",0.07
"416","Florida",0.03
"417","Florida",0.49
"418","Florida",0.18
"419","Florida",0.16
"420","Florida",0.11
"421","Florida",0.04
"422","Florida",0.34
"423","Georgia",4.2
"424","Georgia",3.43
"425","Georgia",0.23
"426","Georgia",0
"427","Georgia",0.03
"428","Georgia",0.33
"429","Georgia",0.27
"430","Georgia",0.18
"431","Georgia",0.09
"432","Georgia",0.17
"433","Georgia",0.24
"434","Georgia",0.31
"435","Georgia",0.11
"436","Georgia",0.45
"437","Georgia",0.14
"438","Georgia",-0.07
"439","Georgia",0.08
"440","Georgia",0.65
"441","Georgia",-0.01
"442","Georgia",0.15
"443","Georgia",0.74
"444","Georgia",0.16
"445","Georgia",0.49
"446","Hawaii",3.8
"447","Hawaii",2.41
"448","Hawaii",0.04
"449","Hawaii",NA
"450","Hawaii",0
"451","Hawaii",0.47
"452","Hawaii",0.06
"453","Hawaii",0.05
"454","Hawaii",0.09
"455","Hawaii",0.21
"456","Hawaii",0.24
"457","Hawaii",0.03
"458","Hawaii",0.41
"459","Hawaii",0.07
"460","Hawaii",0.28
"461","Hawaii",0.18
"462","Hawaii",1.38
"463","Hawaii",0.27
"464","Hawaii",0.48
"465","Hawaii",0.64
"466","Idaho",4.3
"467","Idaho",3.97
"468","Idaho",-0.17
"469","Idaho",0.03
"470","Idaho",NA
"471","Idaho",0
"472","Idaho",0.61
"473","Idaho",0.58
"474","Idaho",0.49
"475","Idaho",0.1
"476","Idaho",0.33
"477","Idaho",0.17
"478","Idaho",0.11
"479","Idaho",0.22
"480","Idaho",0.06
"481","Idaho",0.44
"482","Idaho",0.13
"483","Idaho",0.95
"484","Idaho",0.02
"485","Idaho",0.09
"486","Idaho",0.15
"487","Idaho",0.37
"488","Idaho",0.16
"489","Idaho",0.04
"490","Illinois",3.1
"491","Illinois",2.43
"492","Illinois",-0.24
"493","Illinois",0
"494","Illinois",0.02
"495","Illinois",0.21
"496","Illinois",0.23
"497","Illinois",0.13
"498","Illinois",0.1
"499","Illinois",0.04
"500","Illinois",0.19
"501","Illinois",0.18
"502","Illinois",0.22
"503","Illinois",0.03
"504","Illinois",0.36
"505","Illinois",0.12
"506","Illinois",-0.01
"507","Illinois",0.05
"508","Illinois",0.54
"509","Illinois",0.08
"510","Illinois",0.17
"511","Illinois",0.67
"512","Illinois",0.07
"513","Illinois",0.55
"514","Indiana",3.5
"515","Indiana",3.06
"516","Indiana",-0.24
"517","Indiana",0
"518","Indiana",0.03
"519","Indiana",0.44
"520","Indiana",0.56
"521","Indiana",0.26
"522","Indiana",0.3
"523","Indiana",0.16
"524","Indiana",0.13
"525","Indiana",0.11
"526","Indiana",0.05
"527","Indiana",0.2
"528","Indiana",0.52
"529","Indiana",0.04
"530","Indiana",0.6
"531","Indiana",0.06
"532","Indiana",0.08
"533","Indiana",0.17
"534","Indiana",0.46
"535","Indiana",0.02
"536","Indiana",0.37
"537","Iowa",2.1
"538","Iowa",1.61
"539","Iowa",-0.41
"540","Iowa",0.01
"541","Iowa",0
"542","Iowa",0.03
"543","Iowa",0.29
"544","Iowa",0.16
"545","Iowa",0.08
"546","Iowa",0.11
"547","Iowa",0.04
"548","Iowa",0.1
"549","Iowa",0.22
"550","Iowa",0.19
"551","Iowa",0.13
"552","Iowa",0.33
"553","Iowa",0.05
"554","Iowa",0.07
"555","Iowa",0.15
"556","Iowa",0.52
"557","Iowa",0.06
"558","Iowa",0.02
"559","Iowa",0.44
"560","Kansas",3
"561","Kansas",2.36
"562","Kansas",-0.56
"563","Kansas",0
"564","Kansas",-0.01
"565","Kansas",0.04
"566","Kansas",0.42
"567","Kansas",0.38
"568","Kansas",0.32
"569","Kansas",0.06
"570","Kansas",0.14
"571","Kansas",0.12
"572","Kansas",0.08
"573","Kansas",0.24
"574","Kansas",0.09
"575","Kansas",0.37
"576","Kansas",0.03
"577","Kansas",0.51
"578","Kansas",0.19
"579","Kansas",0.62
"580","Kansas",0.11
"581","Kansas",0.44
"582","Kentucky",2.8
"583","Kentucky",2.25
"584","Kentucky",-0.14
"585","Kentucky",0
"586","Kentucky",-0.02
"587","Kentucky",0.34
"588","Kentucky",0.52
"589","Kentucky",0.36
"590","Kentucky",0.15
"591","Kentucky",0.1
"592","Kentucky",0.12
"593","Kentucky",0.06
"594","Kentucky",0.21
"595","Kentucky",-0.03
"596","Kentucky",0.02
"597","Kentucky",0.03
"598","Kentucky",0.45
"599","Kentucky",0.04
"600","Kentucky",0.11
"601","Kentucky",0.17
"602","Kentucky",0.59
"603","Kentucky",0.08
"604","Kentucky",0.48
"605","Louisiana",3.4
"606","Louisiana",2.87
"607","Louisiana",0.02
"608","Louisiana",0
"609","Louisiana",-0.05
"610","Louisiana",0.71
"611","Louisiana",0.31
"612","Louisiana",0.12
"613","Louisiana",0.19
"614","Louisiana",0.09
"615","Louisiana",0.06
"616","Louisiana",0.05
"617","Louisiana",0.07
"618","Louisiana",0.27
"619","Louisiana",0.11
"620","Louisiana",0.04
"621","Louisiana",0.41
"622","Louisiana",0.03
"623","Louisiana",0.08
"624","Louisiana",0.16
"625","Louisiana",0.51
"626","Louisiana",0.39
"627","Maine",3.7
"628","Maine",3
"629","Maine",0.04
"630","Maine",0
"631","Maine",NA
"632","Maine",0.03
"633","Maine",0.44
"634","Maine",0.07
"635","Maine",0.1
"636","Maine",-0.02
"637","Maine",0.05
"638","Maine",0.15
"639","Maine",0.16
"640","Maine",0.45
"641","Maine",0.29
"642","Maine",0.02
"643","Maine",0.06
"644","Maine",0.7
"645","Maine",0.13
"646","Maine",0.18
"647","Maine",0.71
"648","Maine",0.22
"649","Maine",-0.01
"650","Maine",0.5
"651","Maryland",4.3
"652","Maryland",2.97
"653","Maryland",0.03
"654","Maryland",0
"655","Maryland",0.01
"656","Maryland",0.22
"657","Maryland",0.09
"658","Maryland",0.08
"659","Maryland",0.12
"660","Maryland",0.1
"661","Maryland",0.13
"662","Maryland",0.2
"663","Maryland",0.15
"664","Maryland",0.56
"665","Maryland",0.06
"666","Maryland",0.61
"667","Maryland",0.16
"668","Maryland",1.31
"669","Maryland",0.45
"670","Maryland",0.07
"671","Maryland",0.79
"672","Massachusetts",3.9
"673","Massachusetts",3.43
"674","Massachusetts",0
"675","Massachusetts",0.01
"676","Massachusetts",0.2
"677","Massachusetts",0.11
"678","Massachusetts",0.03
"679","Massachusetts",0.08
"680","Massachusetts",0.05
"681","Massachusetts",0.1
"682","Massachusetts",0.26
"683","Massachusetts",0.28
"684","Massachusetts",0.83
"685","Massachusetts",0.31
"686","Massachusetts",0.14
"687","Massachusetts",0.56
"688","Massachusetts",0.07
"689","Massachusetts",0.51
"690","Massachusetts",0.06
"691","Massachusetts",0.02
"692","Massachusetts",0.44
"693","Michigan",2.8
"694","Michigan",2.22
"695","Michigan",-0.12
"696","Michigan",0.01
"697","Michigan",0
"698","Michigan",0.32
"699","Michigan",0.25
"700","Michigan",0.21
"701","Michigan",0.05
"702","Michigan",0.13
"703","Michigan",0.07
"704","Michigan",0.31
"705","Michigan",-0.01
"706","Michigan",0.53
"707","Michigan",0.06
"708","Michigan",0.09
"709","Michigan",0.16
"710","Michigan",0.55
"711","Michigan",0.08
"712","Michigan",0.46
"713","Minnesota",3.1
"714","Minnesota",2.44
"715","Minnesota",-0.25
"716","Minnesota",0
"717","Minnesota",0.02
"718","Minnesota",0.28
"719","Minnesota",0.2
"720","Minnesota",0.08
"721","Minnesota",0.27
"722","Minnesota",0.11
"723","Minnesota",0.09
"724","Minnesota",0.21
"725","Minnesota",0.07
"726","Minnesota",-0.06
"727","Minnesota",0.03
"728","Minnesota",0.66
"729","Minnesota",0.04
"730","Minnesota",0.14
"731","Minnesota",0.69
"732","Minnesota",0.6
"733","Mississippi",2.8
"734","Mississippi",2.19
"735","Mississippi",0.23
"736","Mississippi",0
"737","Mississippi",-0.01
"738","Mississippi",0.06
"739","Mississippi",0.33
"740","Mississippi",0.17
"741","Mississippi",0.04
"742","Mississippi",0.14
"743","Mississippi",0.11
"744","Mississippi",0.1
"745","Mississippi",0.01
"746","Mississippi",0.13
"747","Mississippi",0.25
"748","Mississippi",0.03
"749","Mississippi",0.37
"750","Mississippi",0.07
"751","Mississippi",0.12
"752","Mississippi",0.6
"753","Missouri",3.1
"754","Missouri",2.45
"755","Missouri",-0.24
"756","Missouri",0
"757","Missouri",0.01
"758","Missouri",0.03
"759","Missouri",0.31
"760","Missouri",0.27
"761","Missouri",0.2
"762","Missouri",0.07
"763","Missouri",0.15
"764","Missouri",0.16
"765","Missouri",0.05
"766","Missouri",0.04
"767","Missouri",0.22
"768","Missouri",0.02
"769","Missouri",0.63
"770","Missouri",0.09
"771","Missouri",0.1
"772","Missouri",0.17
"773","Missouri",0.6
"774","Missouri",0.13
"775","Missouri",0.44
"776","Montana",3.1
"777","Montana",2.44
"778","Montana",-0.64
"779","Montana",0.04
"780","Montana",-0.05
"781","Montana",0.05
"782","Montana",0.4
"783","Montana",0.12
"784","Montana",0.09
"785","Montana",0.03
"786","Montana",0.18
"787","Montana",0.21
"788","Montana",0.13
"789","Montana",0.2
"790","Montana",0.49
"791","Montana",0.16
"792","Montana",0.51
"793","Montana",0.68
"794","Montana",0.23
"795","Montana",0.07
"796","Montana",0.38
"797","Nebraska",1.1
"798","Nebraska",0.41
"799","Nebraska",-1.85
"800","Nebraska",0.01
"801","Nebraska",0
"802","Nebraska",-0.03
"803","Nebraska",0.3
"804","Nebraska",0.06
"805","Nebraska",0.03
"806","Nebraska",0.17
"807","Nebraska",0.11
"808","Nebraska",0.15
"809","Nebraska",0.04
"810","Nebraska",0.19
"811","Nebraska",0.07
"812","Nebraska",-0.1
"813","Nebraska",0.57
"814","Nebraska",0.13
"815","Nebraska",0.16
"816","Nebraska",0.65
"817","Nebraska",0.08
"818","Nebraska",0.51
"819","Nevada",4.5
"820","Nevada",3.42
"821","Nevada",0.01
"822","Nevada",0
"823","Nevada",0.06
"824","Nevada",0.02
"825","Nevada",0.09
"826","Nevada",0.18
"827","Nevada",0.16
"828","Nevada",0.11
"829","Nevada",0.34
"830","Nevada",0.23
"831","Nevada",0.25
"832","Nevada",0.08
"833","Nevada",0.38
"834","Nevada",0.03
"835","Nevada",0.4
"836","Nevada",0.15
"837","Nevada",0.61
"838","Nevada",0.12
"839","Nevada",1.04
"840","Nevada",0.13
"841","Nevada",0.85
"842","New Hampshire",3.3
"843","New Hampshire",2.83
"844","New Hampshire",-0.01
"845","New Hampshire",0
"846","New Hampshire",0.01
"847","New Hampshire",0.35
"848","New Hampshire",0.23
"849","New Hampshire",0.2
"850","New Hampshire",0.02
"851","New Hampshire",-0.04
"852","New Hampshire",0.13
"853","New Hampshire",0.09
"854","New Hampshire",0.14
"855","New Hampshire",0.15
"856","New Hampshire",0.04
"857","New Hampshire",0.4
"858","New Hampshire",0.11
"859","New Hampshire",0.18
"860","New Hampshire",0.1
"861","New Hampshire",0.57
"862","New Hampshire",0.12
"863","New Hampshire",0.16
"864","New Hampshire",0.49
"865","New Jersey",3
"866","New Jersey",2.58
"867","New Jersey",0
"868","New Jersey",0.02
"869","New Jersey",0.14
"870","New Jersey",0.17
"871","New Jersey",0.06
"872","New Jersey",0.11
"873","New Jersey",0.13
"874","New Jersey",0.07
"875","New Jersey",0.1
"876","New Jersey",0.21
"877","New Jersey",0.28
"878","New Jersey",0.26
"879","New Jersey",0.05
"880","New Jersey",0.59
"881","New Jersey",0.15
"882","New Jersey",0.43
"883","New Jersey",0.36
"884","New Mexico",3.9
"885","New Mexico",2.67
"886","New Mexico",0.02
"887","New Mexico",0.01
"888","New Mexico",0.11
"889","New Mexico",0.04
"890","New Mexico",0.28
"891","New Mexico",0.16
"892","New Mexico",0.14
"893","New Mexico",0.06
"894","New Mexico",0.13
"895","New Mexico",0.09
"896","New Mexico",0.07
"897","New Mexico",0.52
"898","New Mexico",0.15
"899","New Mexico",0.44
"900","New Mexico",0.05
"901","New Mexico",0.12
"902","New Mexico",1.24
"903","New Mexico",0.2
"904","New Mexico",0.92
"905","New York",4.6
"906","New York",3.91
"907","New York",0
"908","New York",0.04
"909","New York",0.13
"910","New York",0.09
"911","New York",0.07
"912","New York",0.12
"913","New York",0.47
"914","New York",0.85
"915","New York",0.2
"916","New York",0.59
"917","New York",0.03
"918","New York",0.67
"919","New York",0.11
"920","New York",0.69
"921","New York",0.06
"922","New York",0.01
"923","New York",0.62
"924","North Carolina",4.3
"925","North Carolina",3.54
"926","North Carolina",0.09
"927","North Carolina",0
"928","North Carolina",0.02
"929","North Carolina",0.39
"930","North Carolina",0.3
"931","North Carolina",0.16
"932","North Carolina",0.13
"933","North Carolina",0.11
"934","North Carolina",0.2
"935","North Carolina",0.07
"936","North Carolina",0.46
"937","North Carolina",0.06
"938","North Carolina",0.12
"939","North Carolina",0.54
"940","North Carolina",0.21
"941","North Carolina",0.79
"942","North Carolina",0.1
"943","North Carolina",0.56
"944","North Dakota",0.7
"945","North Dakota",-0.09
"946","North Dakota",-3.4
"947","North Dakota",0
"948","North Dakota",0.29
"949","North Dakota",0.04
"950","North Dakota",0.6
"951","North Dakota",0.11
"952","North Dakota",0.03
"953","North Dakota",0.08
"954","North Dakota",0.38
"955","North Dakota",0.19
"956","North Dakota",0.12
"957","North Dakota",0.14
"958","North Dakota",0.27
"959","North Dakota",0.57
"960","North Dakota",0.06
"961","North Dakota",0.09
"962","North Dakota",0.76
"963","North Dakota",0.51
"964","Ohio",3.6
"965","Ohio",3
"966","Ohio",-0.16
"967","Ohio",0
"968","Ohio",0.04
"969","Ohio",0.43
"970","Ohio",0.44
"971","Ohio",0.27
"972","Ohio",0.17
"973","Ohio",0.16
"974","Ohio",0.09
"975","Ohio",0.13
"976","Ohio",0.08
"977","Ohio",0.14
"978","Ohio",0.29
"979","Ohio",0.32
"980","Ohio",-0.01
"981","Ohio",0.03
"982","Ohio",0.63
"983","Ohio",0.1
"984","Ohio",0.57
"985","Ohio",0.02
"986","Oklahoma",3.4
"987","Oklahoma",2.66
"988","Oklahoma",-0.16
"989","Oklahoma",0
"990","Oklahoma",-0.09
"991","Oklahoma",0.03
"992","Oklahoma",0.3
"993","Oklahoma",0.1
"994","Oklahoma",0.16
"995","Oklahoma",-0.06
"996","Oklahoma",0.77
"997","Oklahoma",0.21
"998","Oklahoma",0.26
"999","Oklahoma",0.54
"1000","Oklahoma",0.04
"1001","Oklahoma",0.12
"1002","Oklahoma",0.71
"1003","Oklahoma",0.06
"1004","Oklahoma",0.49
"1005","Oregon",3.4
"1006","Oregon",2.61
"1007","Oregon",-0.01
"1008","Oregon",0.08
"1009","Oregon",0.01
"1010","Oregon",0.24
"1011","Oregon",0.38
"1012","Oregon",0.37
"1013","Oregon",0.1
"1014","Oregon",0.06
"1015","Oregon",0.07
"1016","Oregon",0.17
"1017","Oregon",0.29
"1018","Oregon",-0.11
"1019","Oregon",-0.06
"1020","Oregon",0.02
"1021","Oregon",0.86
"1022","Oregon",0.05
"1023","Oregon",0.19
"1024","Oregon",0.81
"1025","Oregon",0.13
"1026","Oregon",0.67
"1027","Pennsylvania",3.3
"1028","Pennsylvania",2.9
"1029","Pennsylvania",0.01
"1030","Pennsylvania",0
"1031","Pennsylvania",-0.01
"1032","Pennsylvania",0.03
"1033","Pennsylvania",0.19
"1034","Pennsylvania",0.23
"1035","Pennsylvania",0.15
"1036","Pennsylvania",0.08
"1037","Pennsylvania",0.13
"1038","Pennsylvania",0.14
"1039","Pennsylvania",0.09
"1040","Pennsylvania",0.3
"1041","Pennsylvania",0.04
"1042","Pennsylvania",0.37
"1043","Pennsylvania",0.02
"1044","Pennsylvania",0.1
"1045","Pennsylvania",0.67
"1046","Pennsylvania",0.07
"1047","Pennsylvania",0.17
"1048","Pennsylvania",0.39
"1049","Rhode Island",3.3
"1050","Rhode Island",2.73
"1051","Rhode Island",0.01
"1052","Rhode Island",0
"1053","Rhode Island",0.03
"1054","Rhode Island",0.28
"1055","Rhode Island",0.15
"1056","Rhode Island",0.11
"1057","Rhode Island",0.04
"1058","Rhode Island",0.08
"1059","Rhode Island",0.13
"1060","Rhode Island",0.05
"1061","Rhode Island",0.06
"1062","Rhode Island",0.21
"1063","Rhode Island",0.09
"1064","Rhode Island",0.47
"1065","Rhode Island",-0.12
"1066","Rhode Island",0.63
"1067","Rhode Island",0.14
"1068","Rhode Island",0.52
"1069","Rhode Island",0.12
"1070","Rhode Island",0.26
"1071","South Carolina",4.3
"1072","South Carolina",3.45
"1073","South Carolina",0.09
"1074","South Carolina",0
"1075","South Carolina",0.01
"1076","South Carolina",0.03
"1077","South Carolina",0.43
"1078","South Carolina",0.45
"1079","South Carolina",0.3
"1080","South Carolina",0.15
"1081","South Carolina",0.18
"1082","South Carolina",0.17
"1083","South Carolina",0.07
"1084","South Carolina",0.22
"1085","South Carolina",0.53
"1086","South Carolina",0.04
"1087","South Carolina",0.12
"1088","South Carolina",0.05
"1089","South Carolina",0.49
"1090","South Carolina",0.16
"1091","South Carolina",0.19
"1092","South Carolina",0.86
"1093","South Carolina",0.14
"1094","South Carolina",0.65
"1095","South Dakota",0.6
"1096","South Dakota",0.05
"1097","South Dakota",-2.56
"1098","South Dakota",0.02
"1099","South Dakota",0
"1100","South Dakota",0.03
"1101","South Dakota",0.42
"1102","South Dakota",0.25
"1103","South Dakota",0.14
"1104","South Dakota",0.1
"1105","South Dakota",0.18
"1106","South Dakota",0.06
"1107","South Dakota",0.15
"1108","South Dakota",0.07
"1109","South Dakota",0.04
"1110","South Dakota",0.01
"1111","South Dakota",0.63
"1112","South Dakota",0.16
"1113","South Dakota",0.58
"1114","South Dakota",0.13
"1115","South Dakota",0.4
"1116","Tennessee",4
"1117","Tennessee",3.46
"1118","Tennessee",-0.03
"1119","Tennessee",0
"1120","Tennessee",0.01
"1121","Tennessee",0.46
"1122","Tennessee",0.29
